class_one,class_two,class_three,Job_name,job_company,low_salary,job_release_time,0,job_edu,job_area,job_welfare,second_time,,
技术,后端开发,C++,C++/Lua 游戏服务端高级开发工程师,链牌 PokerLink,10,2017/11/8 9:54,3, 本科,深圳,"“数千万融资,奖金丰厚,腾讯技术大,发展空间大”",1510106040,,
技术,后端开发,C++,C++高级开发工程师,恒生电子,10,2017/11/7 0:00,3, 本科,杭州,"“技术大牛,周末双休”",1509984000,,
技术,后端开发,C++,高级C++开发工程师,竞技世界,20,2017/11/8 10:59,5, 本科,北京,“福利”,1510109940,,
技术,后端开发,C++,C++客户端开发工程师（郑州）,乐至科技,6以上,2017/11/8 10:47,1, 不限,郑州,“薪酬和能力成正比”,1510109220,,
技术,后端开发,C++,C++工程师,麦风科技,10,2017/11/8 9:02,3, 大专,深圳,"“晋升机会多,技术牛人多,人性化管理,年终奖多”",1510102920,,
技术,后端开发,C++,C++软件工程师,梦网荣信科技集团,10,2017/11/8 8:51,1, 大专,深圳,“工资高”,1510102260,,
技术,后端开发,C++,C++开发工程师,东城电子,7,2017/11/7 0:00,1, 本科,杭州,"“饭补,五险”",1509984000,,
技术,后端开发,C++,地图业务部-高级C++开发工程师,美团点评,20,2017/11/7 0:00,3, 本科,北京,"“发展空间大,有前景,有挑战性,六险一金”",1509984000,,
技术,后端开发,C++,C++高级开发工程师,映客直播,30,2017/11/6 0:00,3, 本科,北京,"“一线牛人,千万量级,高福利待遇,扁平化”",1509897600,,
技术,后端开发,C++,C++高级开发工程师,力太科技,10,2017/11/2 0:00,3, 本科,杭州,"“双休,六险一金,期权”",1509552000,,
技术,后端开发,C++,C++开发工程师,中科院广州软件所,8,2017/10/31 0:00,1, 本科,广州,"“五险一金,免费班车,免费体检,节假日福利”",1509379200,,
技术,后端开发,C++,C++软件工程师,三泰电子,10,2017/10/13 0:00,3, 本科,广州,"“上市公司,平台大,福利好”",1507824000,,
技术,后端开发,C++,C++ 开发工程师,英夫美迪,16,2017/10/9 0:00,3, 本科,北京,"“定期体检,享受年假,弹性时间”",1507478400,,
技术,后端开发,C++,C++,客金科技,8,2017/11/7 0:00,1, 本科,北京,“C++”,1509984000,,
技术,后端开发,C++,高级C++开发工程师,Mobvista,20,2017/11/6 0:00,3, 本科,北京,"“上市公司,15+薪资,包四餐”",1509897600,,
技术,后端开发,C++,C++软件开发工程师,Momenta,20,2017/11/3 0:00,3, 本科,北京,“扁平化管理”,1509638400,,
技术,后端开发,C++,C++ 开发工程师,有点科技,10,2017/11/1 0:00,3, 本科,深圳,"“带薪年假,升职加薪,下午茶零食,外出旅游”",1509465600,,
技术,后端开发,C++,C++开发工程师,邢帅教育,13,2017/10/18 0:00,3, 大专,广州,"“待遇优,技术平台广,五险一金,年终奖金”",1508256000,,
技术,后端开发,C++,Linux C++/Python高级研发工程师,好巧,35,2017/11/8 10:40,5, 本科,北京,"“高增长,期权激励,弹性工作,百万医疗”",1510108800,,
技术,后端开发,C++,C++ 应用软件开发工程师,信领达,6,2017/11/8 9:25,1, 本科,杭州,“股票期权，五险一金”,1510104300,,
技术,后端开发,C++,c++（明鉴事业群）,安恒信息,10,2017/11/8 9:22,3, 本科,杭州,"“五险一金,带薪年假,节假日福利,国内外旅游”",1510104120,,
技术,后端开发,C++,Linux C/C++开发工程师,蓝盾信息安全技术股份有限公司,6,2017/11/7 0:00,3, 不限,广州,“五险一金、完善的晋升机制、各种福利、”,1509984000,,
技术,后端开发,C++,高级Win软件开发工程师(C++),万兴科技股份有限公司,15,2017/11/7 0:00,5, 本科,深圳,"“平台好,空间大,待遇优”",1509984000,,
技术,后端开发,C++,C++开发工程师,易居中国-创新研发中心,15,2017/11/7 0:00,1, 本科,上海,"“上市公司,公司氛围好,平台大,技术牛”",1509984000,,
技术,后端开发,C++,C++高级软件工程师,睿琪软件,12,2017/11/6 0:00,3, 本科,杭州,"“五险一金,带薪年假,员工旅游,定期体检”",1509897600,,
技术,后端开发,C++,2018秋招-C++开发工程师J13493,好未来,10,2017/10/24 0:00,0, 本科,北京,“六险一金 纽交所上市 大平台”,1508774400,,
技术,后端开发,C++,C++开发工程师,广电运通,8,2017/10/17 0:00,1, 本科,广州,"“软件设计,维护和升级,linux,嵌入式”",1508169600,,
技术,后端开发,C++,C++,竞技世界,15,2017/10/17 0:00,3, 本科,北京,"“五险一金,年终奖,境内外游,健康体检”",1508169600,,
技术,后端开发,C++,C++开发工程师,爱狄特,15,2017/11/8 17:25,3, 本科,北京,“六险一金 带薪年假 绩效奖金”,1510133100,,
技术,后端开发,C++,移动平台-C++研发工程师,凌志软件,10,2017/11/8 16:16,3, 本科,上海,"“办公环境好,福利待遇好,上市公司”",1510128960,,
技术,后端开发,C++,C++ 中级工程师,ZingFront智线,13,2017/11/8 15:59,1, 本科,北京,“带薪年假+福利多+办公环境好+氛围自由开放”,1510127940,,
技术,后端开发,C++,C++高级工程师,游族网络,10,2017/11/8 10:40,5, 本科,上海,“公司重点产品”,1510108800,,
技术,后端开发,C++,C++客户端开发工程师,诺奚信息技术有限公司,15,2017/11/8 9:52,3, 本科,杭州,"“双休,五险一金,绩效奖金,年终奖金”",1510105920,,
技术,后端开发,C++,高级C++工程师,博实结,10,2017/11/8 9:39,3, 大专,深圳,"“帅哥美女,五险一金,绩效奖金,旅游活动”",1510105140,,
技术,后端开发,C++,C++软件工程师,梦网荣信科技集团,10,2017/11/8 8:51,5, 大专,深圳,“高薪 美女”,1510102260,,
技术,后端开发,C++,互联网技术中心-c++开发工程师,国泰君安证券股份有限公司,10,2017/11/7 0:00,3, 硕士,上海,“国内综合实力最强的证券公司之一”,1509984000,,
技术,后端开发,C++,C++开发工程师,尚趣网络,9,2017/11/6 0:00,1, 大专,广州,“实力团队 出彩项目 即将上线 等你来”,1509897600,,
技术,后端开发,C++,高级 C/C++ 文件系统开发工程师,红象云腾,10,2017/11/3 0:00,1, 本科,北京,"“五险一金,餐饮补贴,周末双休,晋升空间大”",1509638400,,
技术,后端开发,C++,C++开发,成都非凡无限科技有限公司,8,2017/11/8 11:26,1, 大专,成都,"“五险一金,法定双休,带薪年假,年终旅游”",1510111560,,
技术,后端开发,C++,C++软件工程师,金证股份,10,2017/11/3 0:00,3, 本科,深圳,"“高新企业,互联网业务”",1509638400,,
