Job_name,class_one,class_two,class_three,job_company,low_salary,low _year,job_edu,job_area,second_time
高级数据挖掘工程师,技术,后端开发,数据挖掘,智融集团,20,3, 本科,北京,1509724800
数据挖掘工程师,技术,后端开发,数据挖掘,京东商城,15,3, 本科,北京,1508774400
数据挖掘&算法工程师,技术,后端开发,数据挖掘,哔哩哔哩,18,1, 本科,上海,1510111020
数据挖掘工程师（实习生）,技术,后端开发,数据挖掘,集奥聚合（GEO）,5,0, 本科,北京,1510106460
数据挖掘工程师,技术,后端开发,数据挖掘,小米,18,0, 本科,北京,1510105560
资深数据挖掘专家（上海）,技术,后端开发,数据挖掘,平安科技,15,0, 本科,上海,1509984000
数据挖掘工程师,技术,后端开发,数据挖掘,腾讯,18,3, 硕士,深圳,1509984000
数据挖掘工程师,技术,后端开发,数据挖掘,博乐科技,15,1, 本科,北京,1509897600
推荐后台专家/推荐后台资深专家,技术,后端开发,精准推荐,美团点评,25,1, 本科,北京,1510110660
推荐系统算法工程师,技术,后端开发,精准推荐,搜狐视频,15,3, 本科,北京,1508947200
高级推荐算法工程师,技术,后端开发,精准推荐,最右,30,3, 本科,北京,1508947200
推荐算法工程师-UGC,技术,后端开发,精准推荐,今日头条,20,1, 本科,北京,1508601600
推荐引擎高级研发工程师,技术,后端开发,精准推荐,360,20,3, 本科,北京,1510111260
推荐算法资深工程师/专家,技术,后端开发,精准推荐,阿里巴巴—高德,15,3, 本科,北京,1507564800
推荐引擎开发工程师,技术,后端开发,精准推荐,美图公司,10,0, 不限,厦门,1510107120
推荐算法工程师中高级,技术,后端开发,精准推荐,暴风影音,30,3, 本科,北京,1509638400
资深/高级推荐算法工程师-广州,技术,后端开发,精准推荐,掌门集团,16,5, 本科,广州,1509897600
资深算法推荐 / 机器学习研发,技术,后端开发,精准推荐,新氧盒子,25,3, 本科,北京,1510103460
阿里移动国际-高级产品经理-个性化推荐方向,技术,后端开发,精准推荐,阿里巴巴移动事业群-UC,15,3, 本科,广州,1509984000
推荐算法,技术,后端开发,精准推荐,腾讯,25,0, 本科,深圳,1509897600
高级个性化推荐工程师-电商,技术,后端开发,精准推荐,小米,30,3, 本科,北京,1510105980
搜索推荐工程师,技术,后端开发,精准推荐,返利网,15,3, 本科,上海,1510104480
推荐系统研发工程师,技术,后端开发,精准推荐,新浪微博,20,1, 本科,北京,1508083200
推荐算法技术专家,技术,后端开发,精准推荐,美团点评,25,0, 本科,北京,1509984000
推荐系统高级工程师-视频,技术,后端开发,精准推荐,今日头条,22,1, 本科,北京,1508601600
高级推荐算法工程师-广州,技术,后端开发,精准推荐,掌门集团,14,3, 本科,广州,1509897600
推荐系统架构师,技术,后端开发,精准推荐,映客直播,50,5, 本科,北京,1509897600
百度贴吧推荐算法高级工程师,技术,后端开发,精准推荐,百度,20,3, 本科,北京,1510108500
高级推荐算法工程师,技术,后端开发,精准推荐,知乎,25,3, 本科,北京,1509033600
搜狐媒体-智能推荐平台-推荐算法资深工程师,技术,后端开发,精准推荐,搜狐媒体,30,3, 不限,北京,1508515200
推荐算法工程师,技术,后端开发,精准推荐,美柚,15,1, 本科,杭州,1509984000
用户推荐算法工程师J10324,技术,后端开发,精准推荐,快手,20,1, 本科,北京,1509465600
RANK/推荐高级产品经理,技术,后端开发,精准推荐,百度外卖,15,0, 本科,北京,1510111800
短视频推荐系统开发工程师,技术,后端开发,精准推荐,一览科技,20,3, 本科,北京,1509984000
视频-产品技术中心-推荐系统算法工程师,技术,后端开发,精准推荐,搜狐视频,15,1, 本科,北京,1508947200
MIG09-资讯推荐算法高级工程师,技术,后端开发,精准推荐,腾讯,18,5, 本科,深圳,1509638400
推荐系统工程师/专家,技术,后端开发,精准推荐,拼多多,20,0, 不限,上海,1507478400
推荐算法产品经理,技术,后端开发,精准推荐,ZAKER,13,3, 本科,广州,1510120920
